"No.","Time","Source","Destination","Protocol","Length","Info"
"32","0.706132600","10.35.99.145","150.171.22.11","TCP","54","52032  >  443 [FIN, ACK] Seq=449 Ack=4798 Win=65280 Len=0"
"33","0.715536800","10.35.99.145","150.171.22.11","TCP","66","52034  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"34","0.733535300","10.35.99.145","20.195.84.7","TCP","54","55580  >  443 [ACK] Seq=867 Ack=1959 Win=255 Len=0"
"35","0.819210900","20.195.84.7","10.35.99.145","TLSv1.2","87","Application Data"
"36","0.819210900","150.171.22.11","10.35.99.145","TCP","54","443  >  52032 [ACK] Seq=4798 Ack=450 Win=65536 Len=0"
"37","0.867772300","10.35.99.145","20.195.84.7","TCP","54","55580  >  443 [ACK] Seq=867 Ack=1992 Win=255 Len=0"
"38","0.891957900","13.107.13.93","10.35.99.145","TCP","54","443  >  58892 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"39","0.891957900","20.195.84.7","10.35.99.145","TLSv1.2","87","Application Data"
"40","0.891957900","150.171.22.11","10.35.99.145","TCP","54","443  >  52034 [ACK] Seq=1 Ack=2685365042 Win=16383 Len=0"
"41","0.891957900","20.106.86.13","10.35.99.145","TCP","54","443  >  52033 [ACK] Seq=3759 Ack=373 Win=12583424 Len=0"
"42","0.892140000","10.35.99.145","150.171.22.11","TCP","54","52034  >  443 [RST] Seq=2685365042 Win=0 Len=0"
"43","0.940250500","10.35.99.145","20.195.84.7","TCP","54","55574  >  443 [ACK] Seq=781 Ack=548 Win=255 Len=0"
"44","1.127139100","20.106.86.13","10.35.99.145","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"45","1.127139100","20.106.86.13","10.35.99.145","TLSv1.2","123","Application Data"
"46","1.127265100","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [ACK] Seq=373 Ack=3879 Win=255 Len=0"
"47","1.137033900","10.35.99.145","20.106.86.13","TLSv1.2","141","Application Data"
"48","1.137729300","10.35.99.145","20.106.86.13","TLSv1.2","1434","Application Data"
"49","1.138148800","10.35.99.145","20.106.86.13","TLSv1.2","92","Application Data"
"50","1.536642800","20.106.86.13","10.35.99.145","TLSv1.2","92","Application Data"
"51","1.581255100","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [ACK] Seq=1878 Ack=3917 Win=255 Len=0"
"52","1.595650000","20.106.86.13","10.35.99.145","TCP","54","443  >  52033 [ACK] Seq=3917 Ack=1878 Win=12583680 Len=0"
"53","1.709750200","10.35.99.145","10.35.99.221","DNS","81","Standard query 0x3d23 A oneocsp.microsoft.com"
"54","1.725202300","10.35.99.145","150.171.22.11","TCP","66","[TCP Port numbers reused] 52034  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"55","1.843793400","10.35.99.221","10.35.99.145","DNS","166","Standard query response 0x3d23 A oneocsp.microsoft.com CNAME oneocsp-microsoft-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203"
"56","1.846660400","10.35.99.145","204.79.197.203","TCP","66","52035  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"57","1.945541500","150.171.22.11","10.35.99.145","TCP","66","443  >  52034 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"58","1.945689100","10.35.99.145","150.171.22.11","TCP","54","52034  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"59","1.953513300","10.35.99.145","150.171.22.11","TLSv1.3","502","Client Hello (SNI=api.onedrive.com)"
"60","2.048119700","20.106.86.13","10.35.99.145","TLSv1.2","418","Application Data"
"61","2.048119700","204.79.197.203","10.35.99.145","TCP","66","80  >  52035 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"62","2.048375400","10.35.99.145","204.79.197.203","TCP","54","52035  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"63","2.049238400","10.35.99.145","204.79.197.203","HTTP","472","GET /ocsp/MFQwUjBQME4wTDAJBgUrDgMCGgUABBQ3L3%2F%2Fa6ADK8NraY2GXzVaYrHG4AQUb6t%2B2v%2BXQ3LsO2d33oJhNYhHQoUCEzMAAAAGb6JMMcOVb6sAAAAAAAY%3D HTTP/1.1 "
"64","2.067096500","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [FIN, ACK] Seq=1878 Ack=4281 Win=253 Len=0"
"65","2.078396600","204.79.197.203","10.35.99.145","TCP","54","80  >  52035 [ACK] Seq=1 Ack=419 Win=65280 Len=0"
"66","2.210235900","10.35.99.145","52.147.65.166","TCP","55","54752  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"67","2.228160600","150.171.22.11","10.35.99.145","TLSv1.3","246","Server Hello"
"68","2.235684900","204.79.197.203","10.35.99.145","OCSP","1499","Response"
"69","2.235684900","150.171.22.11","10.35.99.145","TLSv1.3","1514","Change Cipher Spec"
"70","2.235684900","150.171.22.11","10.35.99.145","TCP","1514","443  >  52034 [ACK] Seq=1653 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 73]"
"71","2.235793300","10.35.99.145","150.171.22.11","TCP","54","52034  >  443 [ACK] Seq=449 Ack=3113 Win=65280 Len=0"
"72","2.235905100","150.171.22.11","10.35.99.145","TCP","1514","443  >  52034 [ACK] Seq=3113 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 73]"
"73","2.235905100","150.171.22.11","10.35.99.145","TLSv1.3","279","Application Data"
"74","2.235933400","10.35.99.145","150.171.22.11","TCP","54","52034  >  443 [ACK] Seq=449 Ack=4798 Win=65280 Len=0"
"75","2.245965400","10.35.99.145","150.171.22.11","TCP","54","52034  >  443 [FIN, ACK] Seq=449 Ack=4798 Win=65280 Len=0"
"76","2.260745800","10.35.99.145","204.79.197.203","HTTP","466","GET /ocsp/MFQwUjBQME4wTDAJBgUrDgMCGgUABBR0TBEVYklX7A9yLoLD9hqmCWDxFgQU3pGGSLehMVkx8UtfB6nciHnaqHYCEzMAAAALE%2BVmfUqbVYAAAAAAAAs%3D HTTP/1.1 "
"77","2.280237200","150.171.22.11","10.35.99.145","TCP","54","443  >  52034 [ACK] Seq=4798 Ack=450 Win=65536 Len=0"
"78","2.280237200","204.79.197.203","10.35.99.145","TCP","54","80  >  52035 [ACK] Seq=1446 Ack=831 Win=4194048 Len=0"
"79","2.468746300","204.79.197.203","10.35.99.145","TCP","1514","80  >  52035 [ACK] Seq=1446 Ack=831 Win=4193536 Len=1460 [TCP PDU reassembled in 80]"
"80","2.468746300","204.79.197.203","10.35.99.145","OCSP","1361","Response"
"81","2.468908300","10.35.99.145","204.79.197.203","TCP","54","52035  >  80 [ACK] Seq=831 Ack=4213 Win=65280 Len=0"
"82","2.490472100","10.35.99.145","109.61.38.38","TCP","66","52036  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"83","2.491084200","10.35.99.145","10.35.99.221","DNS","91","Standard query 0x4a4b A settings-win.data.microsoft.com"
"84","2.500916400","52.147.65.166","10.35.99.145","TCP","66","443  >  54752 [ACK] Seq=1 Ack=2 Win=593 Len=0 SLE=1 SRE=2"
"85","2.500916400","20.106.86.13","10.35.99.145","TLSv1.2","96","Application Data"
"86","2.500916400","20.106.86.13","10.35.99.145","TCP","54","443  >  52033 [FIN, ACK] Seq=4323 Ack=1879 Win=12583680 Len=0"
"87","2.501056200","10.35.99.145","20.106.86.13","TCP","54","52033  >  443 [RST, ACK] Seq=1879 Ack=4323 Win=0 Len=0"
"88","2.508477000","10.35.99.221","10.35.99.145","DNS","222","Standard query response 0x4a4b A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-wus3-1.westus3.cloudapp.azure.com A 20.106.86.13"
"89","2.510274100","10.35.99.145","20.106.86.13","TCP","66","52037  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"90","2.765389700","109.61.38.38","10.35.99.145","TCP","66","80  >  52036 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=2048"
"91","2.765600300","10.35.99.145","109.61.38.38","TCP","54","52036  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"92","2.766286800","10.35.99.145","109.61.38.38","HTTP","250","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?8b0ac8c258dc1a40 HTTP/1.1 "
"93","2.867865200","109.61.38.38","10.35.99.145","TCP","54","80  >  52036 [ACK] Seq=1 Ack=197 Win=63488 Len=0"
"94","2.921643400","10.35.99.145","52.147.65.166","TCP","55","50573  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"95","2.937612700","20.106.86.13","10.35.99.145","TCP","66","443  >  52037 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"96","2.937785800","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"97","2.938608500","10.35.99.145","20.106.86.13","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"98","3.077049900","109.61.38.38","10.35.99.145","TCP","1296","80  >  52036 [ACK] Seq=1 Ack=197 Win=67584 Len=1242 [TCP PDU reassembled in 101]"
"99","3.077049900","109.61.38.38","10.35.99.145","TCP","5894","80  >  52036 [PSH, ACK] Seq=1243 Ack=197 Win=67584 Len=5840 [TCP PDU reassembled in 101]"
"100","3.077049900","20.195.84.7","10.35.99.145","TLSv1.2","853","Application Data"
"101","3.077049900","109.61.38.38","10.35.99.145","HTTP","1245","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"102","3.077260500","10.35.99.145","109.61.38.38","TCP","54","52036  >  80 [ACK] Seq=197 Ack=8274 Win=65280 Len=0"
"103","3.079021300","10.35.99.145","20.195.84.7","TLSv1.2","535","Application Data"
"104","3.079651400","10.35.99.145","20.195.84.7","TLSv1.2","535","Application Data"
"105","3.159703400","10.35.99.145","34.104.35.123","TCP","66","52029  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"106","3.170723200","20.106.86.13","10.35.99.145","TCP","54","443  >  52037 [ACK] Seq=1 Ack=215 Win=65280 Len=0"
"107","3.199292000","52.147.65.166","10.35.99.145","TCP","66","443  >  50573 [ACK] Seq=1 Ack=2 Win=553 Len=0 SLE=1 SRE=2"
"108","3.289376100","10.35.99.145","150.171.22.11","TCP","66","52038  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"109","3.380036400","20.106.86.13","10.35.99.145","TCP","2974","443  >  52037 [ACK] Seq=1 Ack=215 Win=12583424 Len=2920 [TCP PDU reassembled in 110]"
"110","3.380036400","20.106.86.13","10.35.99.145","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"111","3.380036400","20.195.84.7","10.35.99.145","TCP","54","443  >  55574 [ACK] Seq=1347 Ack=1743 Win=671 Len=0"
"112","3.380302600","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [ACK] Seq=215 Ack=3759 Win=65280 Len=0"
"113","3.380491800","20.195.84.7","10.35.99.145","TLSv1.2","87","Application Data"
"114","3.390769200","10.35.99.145","20.106.86.13","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"115","3.428606600","10.35.99.145","20.195.84.7","TCP","54","55574  >  443 [ACK] Seq=1743 Ack=1380 Win=252 Len=0"
"116","3.442392000","20.195.84.7","10.35.99.145","TLSv1.2","87","Application Data"
"117","3.442392000","150.171.22.11","10.35.99.145","TCP","54","443  >  52038 [ACK] Seq=1 Ack=3944525088 Win=16383 Len=0"
"118","3.442553700","10.35.99.145","150.171.22.11","TCP","54","52038  >  443 [RST] Seq=3944525088 Win=0 Len=0"
"119","3.490168000","10.35.99.145","20.195.84.7","TCP","54","55574  >  443 [ACK] Seq=1743 Ack=1413 Win=252 Len=0"
"120","3.585228700","20.106.86.13","10.35.99.145","TCP","54","443  >  52037 [ACK] Seq=3759 Ack=373 Win=12583424 Len=0"
"121","3.891209900","10.35.99.145","20.195.84.7","TLSv1.2","82","Application Data"
"122","3.891767200","20.106.86.13","10.35.99.145","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"123","3.891767200","20.106.86.13","10.35.99.145","TLSv1.2","123","Application Data"
"124","3.892454700","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [ACK] Seq=373 Ack=3879 Win=65280 Len=0"
"125","3.908134700","10.35.99.145","20.106.86.13","TLSv1.2","141","Application Data"
"126","3.911402900","10.35.99.145","20.106.86.13","TCP","1494","52037  >  443 [ACK] Seq=460 Ack=3879 Win=65280 Len=1440 [TCP PDU reassembled in 129]"
"127","3.911402900","10.35.99.145","20.106.86.13","TCP","1494","52037  >  443 [ACK] Seq=1900 Ack=3879 Win=65280 Len=1440 [TCP PDU reassembled in 129]"
"128","3.911402900","10.35.99.145","20.106.86.13","TCP","1494","52037  >  443 [ACK] Seq=3340 Ack=3879 Win=65280 Len=1440 [TCP PDU reassembled in 129]"
"129","3.911402900","10.35.99.145","20.106.86.13","TLSv1.2","977","Application Data"
"130","3.912371900","10.35.99.145","20.106.86.13","TLSv1.2","92","Application Data"
"131","4.135625600","20.195.84.7","10.35.99.145","TCP","54","443  >  55574 [ACK] Seq=1413 Ack=1771 Win=671 Len=0"
"132","4.292505500","10.35.99.145","150.171.22.11","TCP","66","[TCP Port numbers reused] 52038  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"133","4.295170800","20.106.86.13","10.35.99.145","TLSv1.2","92","Application Data"
"134","4.343165600","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [ACK] Seq=5741 Ack=3917 Win=65280 Len=0"
"135","4.394302600","150.171.22.11","10.35.99.145","TCP","66","443  >  52038 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"136","4.394511600","10.35.99.145","150.171.22.11","TCP","54","52038  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"137","4.400486300","10.35.99.145","150.171.22.11","TLSv1.3","502","Client Hello (SNI=api.onedrive.com)"
"138","4.506106000","20.106.86.13","10.35.99.145","TCP","54","443  >  52037 [ACK] Seq=3917 Ack=3340 Win=12583680 Len=0"
"139","4.506106000","20.106.86.13","10.35.99.145","TCP","54","443  >  52037 [ACK] Seq=3917 Ack=5741 Win=12583680 Len=0"
"140","4.509300000","150.171.22.11","10.35.99.145","TLSv1.3","246","Server Hello"
"141","4.514566600","150.171.22.11","10.35.99.145","TLSv1.3","1514","Change Cipher Spec"
"142","4.514646900","10.35.99.145","150.171.22.11","TCP","54","52038  >  443 [ACK] Seq=449 Ack=1653 Win=65280 Len=0"
"143","4.514736100","150.171.22.11","10.35.99.145","TCP","1514","443  >  52038 [ACK] Seq=1653 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 145]"
"144","4.514736100","150.171.22.11","10.35.99.145","TCP","1514","443  >  52038 [ACK] Seq=3113 Ack=449 Win=65536 Len=1460 [TCP PDU reassembled in 145]"
"145","4.514736100","150.171.22.11","10.35.99.145","TLSv1.3","279","Application Data"
"146","4.514782100","10.35.99.145","150.171.22.11","TCP","54","52038  >  443 [ACK] Seq=449 Ack=4798 Win=65280 Len=0"
"147","4.531683100","10.35.99.145","150.171.22.11","TCP","54","52038  >  443 [FIN, ACK] Seq=449 Ack=4798 Win=65280 Len=0"
"148","4.536413700","150.171.22.11","10.35.99.145","TCP","54","443  >  52038 [ACK] Seq=4798 Ack=450 Win=65536 Len=0"
"149","4.554356400","10.35.99.145","150.171.22.11","TCP","66","52039  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"150","4.689823800","10.35.99.145","52.123.128.14","TCP","55","49988  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1"
"151","4.710274500","10.35.99.145","20.195.84.7","TLSv1.2","82","Application Data"
"152","4.726437800","150.171.22.11","10.35.99.145","TCP","66","[TCP ACKed unseen segment] 443  >  52039 [ACK] Seq=1 Ack=1766315370 Win=16383 Len=0 SLE=0 SRE=1"
"153","4.726437800","20.106.86.13","10.35.99.145","TLSv1.2","402","Application Data"
"154","4.726494400","10.35.99.145","150.171.22.11","TCP","54","52039  >  443 [RST] Seq=1766315370 Win=0 Len=0"
"155","4.729257900","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [FIN, ACK] Seq=5741 Ack=4265 Win=65024 Len=0"
"156","4.761261100","10.35.99.145","148.113.16.225","TCP","55","51135  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"157","4.778023500","148.113.16.225","10.35.99.145","TCP","54","443  >  51135 [ACK] Seq=0 Ack=2 Win=501 Len=0"
"158","4.778099600","10.35.99.145","148.113.16.225","TCP","54","[TCP Dup ACK 156#1] [TCP ACKed unseen segment] 51135  >  443 [ACK] Seq=2 Ack=1 Win=255 Len=0"
"159","4.923923800","52.123.128.14","10.35.99.145","TCP","66","443  >  49988 [ACK] Seq=1 Ack=2 Win=16383 Len=0 SLE=1 SRE=2"
"160","4.923923800","148.113.16.225","10.35.99.145","TCP","66","[TCP Previous segment not captured] 443  >  51135 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"161","4.933507300","20.195.84.7","10.35.99.145","TCP","54","443  >  55580 [ACK] Seq=1992 Ack=895 Win=651 Len=0"
"162","4.955639400","10.35.99.145","10.35.99.221","DNS","89","Standard query 0x681d HTTPS clientservices.googleapis.com"
"163","4.956373200","10.35.99.145","10.35.99.221","DNS","89","Standard query 0x39d7 A clientservices.googleapis.com"
"164","4.973732900","10.35.99.221","10.35.99.145","DNS","89","Standard query response 0x681d HTTPS clientservices.googleapis.com"
"165","5.005553600","10.35.99.145","10.35.99.221","DNS","94","Standard query 0x25f8 HTTPS oauthaccountmanager.googleapis.com"
"166","5.006036800","10.35.99.145","10.35.99.221","DNS","94","Standard query 0xfe0f A oauthaccountmanager.googleapis.com"
"167","5.007804900","10.35.99.145","10.35.99.221","DNS","79","Standard query 0x1056 HTTPS accounts.google.com"
"168","5.008242200","10.35.99.145","10.35.99.221","DNS","79","Standard query 0x31b9 A accounts.google.com"
"169","5.015708400","10.35.99.145","10.35.99.221","DNS","74","Standard query 0x60a0 HTTPS www.google.com"
"170","5.016040600","10.35.99.145","10.35.99.221","DNS","74","Standard query 0xddf3 A www.google.com"
"171","5.040993800","10.35.99.221","10.35.99.145","DNS","105","Standard query response 0x39d7 A clientservices.googleapis.com A 142.251.221.163"
"172","5.041106600","10.35.99.221","10.35.99.145","DNS","94","Standard query response 0x25f8 HTTPS oauthaccountmanager.googleapis.com"
"173","5.042337700","10.35.99.221","10.35.99.145","DNS","158","Standard query response 0xfe0f A oauthaccountmanager.googleapis.com A 216.239.34.223 A 216.239.36.223 A 216.239.32.223 A 216.239.38.223"
"174","5.043553000","10.35.99.145","142.251.221.163","TCP","66","55017  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"175","5.044351000","10.35.99.221","10.35.99.145","DNS","95","Standard query response 0x31b9 A accounts.google.com A 192.178.211.84"
"176","5.044433000","10.35.99.221","10.35.99.145","DNS","99","Standard query response 0x60a0 HTTPS www.google.com HTTPS"
"177","5.044433000","10.35.99.221","10.35.99.145","DNS","202","Standard query response 0xddf3 A www.google.com A 142.251.153.119 A 142.251.154.119 A 142.251.152.119 A 142.251.150.119 A 142.251.151.119 A 142.251.156.119 A 142.251.155.119 A 142.251.157.119"
"178","5.046867100","10.35.99.145","142.251.153.119","QUIC","1292","Initial, DCID=44894f3250476c7b, PKN: 1, PADDING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING"
"179","5.047035200","10.35.99.145","142.251.153.119","QUIC","1292","Initial, DCID=44894f3250476c7b, PKN: 2, CRYPTO, PING, PADDING, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PING, PING, PING, CRYPTO"
"180","5.047593300","10.35.99.145","216.239.34.223","TCP","66","57302  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"181","5.047938000","10.35.99.145","216.239.34.223","TCP","66","55561  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"182","5.048181000","10.35.99.145","216.239.34.223","TCP","66","61240  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"183","5.048370700","10.35.99.145","216.239.34.223","TCP","66","61581  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"184","5.048567700","10.35.99.145","142.251.153.119","TCP","66","62668  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"185","5.054982500","10.35.99.145","192.178.211.84","TCP","66","55057  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"186","5.055790500","10.35.99.145","192.178.211.84","TCP","66","56314  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"187","5.060511600","10.35.99.221","10.35.99.145","DNS","79","Standard query response 0x1056 HTTPS accounts.google.com"
"188","5.226730100","20.106.86.13","10.35.99.145","TLSv1.2","96","Application Data"
"189","5.226730100","20.106.86.13","10.35.99.145","TCP","54","443  >  52037 [FIN, ACK] Seq=4307 Ack=5742 Win=12583680 Len=0"
"190","5.226730100","142.251.221.163","10.35.99.145","TCP","66","443  >  55017 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"191","5.226730100","216.239.34.223","10.35.99.145","TCP","66","443  >  57302 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"192","5.226730100","216.239.34.223","10.35.99.145","TCP","66","443  >  61240 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"193","5.226730100","142.251.153.119","10.35.99.145","TCP","66","443  >  62668 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"194","5.226893400","10.35.99.145","20.106.86.13","TCP","54","52037  >  443 [RST, ACK] Seq=5742 Ack=4307 Win=0 Len=0"
"195","5.227251700","10.35.99.145","142.251.221.163","TCP","54","55017  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"196","5.227300600","10.35.99.145","216.239.34.223","TCP","54","57302  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"197","5.227312600","10.35.99.145","216.239.34.223","TCP","54","61240  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"198","5.227323700","10.35.99.145","142.251.153.119","TCP","54","62668  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"199","5.227405500","216.239.34.223","10.35.99.145","TCP","66","443  >  61581 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"200","5.227405500","216.239.34.223","10.35.99.145","TCP","66","443  >  55561 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"201","5.227488000","10.35.99.145","216.239.34.223","TCP","54","61581  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"202","5.227507800","10.35.99.145","216.239.34.223","TCP","54","55561  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
